timestamp,user_id,event_type,message,hour_of_day,day_of_week,is_weekend,is_anomaly
2026-07-30 11:17:02.893791,user_4,login,User logged in from IP 192.168.1.4,11,Thursday,False,1
2026-07-30 11:09:02.893802,user_10,logout,logout event.,11,Thursday,False,1
2026-07-30 11:12:02.893805,user_3,network_connection,Connection to www.suspicious-site-1.com on port 8080,11,Thursday,False,1
2026-07-30 12:15:02.893806,user_4,login,User logged in from IP 192.168.1.191,12,Thursday,False,1
2026-07-30 11:55:02.893808,user_4,network_connection,Connection to www.suspicious-site-5.com on port 8080,11,Thursday,False,1
2026-07-30 11:29:02.893809,user_2,logout,logout event.,11,Thursday,False,1
2026-07-30 11:54:02.893810,user_6,logout,logout event.,11,Thursday,False,1
2026-07-30 11:18:02.893810,user_9,logout,logout event.,11,Thursday,False,1
2026-07-30 12:21:02.893811,user_6,network_connection,Connection to www.suspicious-site-5.com on port 8080,12,Thursday,False,1
2026-07-30 12:25:02.893812,user_9,login,User logged in from IP 192.168.1.180,12,Thursday,False,1
2026-07-30 11:25:02.893813,user_3,logout,logout event.,11,Thursday,False,1
2026-07-30 12:26:02.893814,user_1,login,User logged in from IP 192.168.1.94,12,Thursday,False,1
2026-07-30 11:16:02.893814,user_6,logout,logout event.,11,Thursday,False,1
2026-07-30 10:57:02.893815,user_7,login,User logged in from IP 192.168.1.165,10,Thursday,False,-1
2026-07-30 10:53:02.893816,user_8,login,User logged in from IP 192.168.1.130,10,Thursday,False,-1
2026-07-30 11:07:02.893817,UNKNOWN,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,11,Thursday,False,1
2026-07-30 10:56:02.893818,UNKNOWN,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,10,Thursday,False,-1
2026-07-30 11:13:02.893818,user_5,login,User logged in from IP 192.168.1.194,11,Thursday,False,1
2026-07-30 12:24:02.893819,user_1,login,User logged in from IP 192.168.1.157,12,Thursday,False,1
2026-07-30 11:31:02.893820,user_3,network_connection,Connection to www.suspicious-site-4.com on port 8080,11,Thursday,False,1
2026-07-30 11:24:02.893820,user_2,logout,logout event.,11,Thursday,False,1
2026-07-30 11:01:02.893821,user_1,logout,logout event.,11,Thursday,False,1
2026-07-30 10:58:02.893822,user_5,network_connection,Connection to www.suspicious-site-4.com on port 8080,10,Thursday,False,-1
2026-07-30 11:15:02.893823,user_4,login,User logged in from IP 192.168.1.170,11,Thursday,False,1
2026-07-30 11:24:02.893823,user_6,network_connection,Connection to www.suspicious-site-2.com on port 8080,11,Thursday,False,1
2026-07-30 11:18:02.893824,user_5,network_connection,UNKNOWN,11,Thursday,False,1
2026-07-30 12:08:02.893825,user_7,logout,logout event.,12,Thursday,False,1
2026-07-30 12:16:02.893825,user_2,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,12,Thursday,False,1
2026-07-30 12:25:02.893826,user_7,email_sent,UNKNOWN,12,Thursday,False,1
2026-07-30 12:11:02.893827,user_1,network_connection,Connection to www.suspicious-site-1.com on port 8080,12,Thursday,False,1
2026-07-30 11:18:02.893828,user_6,logout,logout event.,11,Thursday,False,1
2026-07-30 12:20:02.893828,user_3,login,User logged in from IP 192.168.1.73,12,Thursday,False,1
2026-07-30 11:34:02.893829,user_4,login,User logged in from IP 192.168.1.216,11,Thursday,False,1
2026-07-30 11:15:02.893830,UNKNOWN,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_5.txt,11,Thursday,False,1
2026-07-30 12:13:02.893830,user_1,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_5.txt,12,Thursday,False,1
2026-07-30 11:55:02.893831,user_2,login,User logged in from IP 192.168.1.49,11,Thursday,False,1
2026-07-30 12:19:02.893832,user_6,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,12,Thursday,False,1
2026-07-30 11:20:02.893833,user_9,login,User logged in from IP 192.168.1.120,11,Thursday,False,1
2026-07-30 10:53:02.893834,user_4,login,User logged in from IP 192.168.1.88,10,Thursday,False,-1
2026-07-30 12:19:02.893834,user_8,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,12,Thursday,False,1
2026-07-30 12:06:02.893835,user_5,login,User logged in from IP 192.168.1.120,12,Thursday,False,1
2026-07-30 11:44:02.893836,user_7,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,11,Thursday,False,1
2026-07-30 11:13:02.893837,user_1,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_5.txt,11,Thursday,False,1
2026-07-30 11:46:02.893837,user_8,logout,logout event.,11,Thursday,False,1
2026-07-30 11:47:02.893838,user_1,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.,11,Thursday,False,1
